Exchange,Symbol,Name,MarketCap,IPO,Sector,Industry
NASDAQ,PIH,1347 Property Insurance Holdings Inc.,45.48M,2014,Finance,Property-Casualty Insurers
NASDAQ,PIHPP,1347 Property Insurance Holdings Inc.,N/A,N/A,Finance,Property-Casualty Insurers
NASDAQ,TURN,180 Degree Capital Corp.,68.16M,N/A,Finance,Finance/Investors Services
NASDAQ,FLWS,1-800 FLOWERS.COM Inc.,833.39M,1999,Consumer Services,Other Specialty Stores
NASDAQ,FCCY,1st Constitution Bancorp (NJ),177.31M,N/A,Finance,Savings Institutions
NASDAQ,SRCE,1st Source Corporation,1.4B,N/A,Finance,Major Banks
NASDAQ,VNET,21Vianet Group Inc.,895.61M,2011,Technology,Computer Software: Programming & Data Processing
NASDAQ,TWOU,2U Inc.,4.77B,2014,Technology,Computer Software: Prepackaged Software
NASDAQ,JOBS,51job Inc.,6.55B,2004,Technology,Diversified Commercial Services
NASDAQ,CAFD,8point3 Energy Partners LP,964.15M,2015,Public Utilities,Electric Utilities: Central
NASDAQ,EGHT,8x8 Inc,2B,N/A,Public Utilities,Telecommunications Equipment
NASDAQ,AVHI,A V Homes Inc.,396.68M,N/A,Capital Goods,Homebuilding
NASDAQ,SHLM,A. Schulman Inc.,1.31B,1972,Basic Industries,Major Chemicals
NASDAQ,AAON,AAON Inc.,1.63B,N/A,Capital Goods,Industrial Machinery/Components
NASDAQ,ABAX,ABAXIS Inc.,1.9B,1992,Capital Goods,Industrial Machinery/Components
NASDAQ,ABEO,Abeona Therapeutics Inc.,756.88M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ABEOW,Abeona Therapeutics Inc.,N/A,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ABIL,Ability Inc.,6.29M,2014,Consumer Durables,Telecommunications Equipment
NASDAQ,ABMD,ABIOMED Inc.,17.56B,N/A,Health Care,Medical/Dental Instruments
NASDAQ,ABLX,Ablynx NV,4.11B,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ABP,Abpro Corporation,N/A,N/A,Health Care,Major Pharmaceuticals
NASDAQ,AXAS,Abraxas Petroleum Corporation,497.22M,N/A,Energy,Oil & Gas Production
NASDAQ,ACIU,AC Immune SA,596.9M,2016,Health Care,Major Pharmaceuticals
NASDAQ,ACIA,Acacia Communications Inc.,1.3B,2016,Technology,Semiconductors
NASDAQ,ACTG,Acacia Research Corporation,202.59M,N/A,Miscellaneous,Multi-Sector Companies
NASDAQ,ACHC,Acadia Healthcare Company Inc.,3.73B,N/A,Health Care,Medical Specialities
NASDAQ,ACAD,ACADIA Pharmaceuticals Inc.,2.12B,1985,Health Care,Major Pharmaceuticals
NASDAQ,ACST,Acasti Pharma Inc.,28.39M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,AXDX,Accelerate Diagnostics Inc.,1.13B,N/A,Capital Goods,Biotechnology: Laboratory Analytical Instruments
NASDAQ,XLRN,Acceleron Pharma Inc.,1.66B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ANCX,Access National Corporation,593.3M,N/A,Finance,Savings Institutions
NASDAQ,ARAY,Accuray Incorporated,432.47M,2007,Health Care,Medical/Dental Instruments
NASDAQ,ACRX,AcelRx Pharmaceuticals Inc.,161.66M,2011,Health Care,Major Pharmaceuticals
NASDAQ,ACER,Acer Therapeutics Inc.,140.95M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ACET,Aceto Corporation,92.06M,N/A,Health Care,Other Pharmaceuticals
NASDAQ,AKAO,Achaogen Inc.,529.04M,2014,Health Care,Major Pharmaceuticals
NASDAQ,ACHV,Achieve Life Sciences Inc. ,N/A,N/A,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NASDAQ,ACHN,Achillion Pharmaceuticals Inc.,509.09M,2006,Health Care,Major Pharmaceuticals
NASDAQ,ACIW,ACI Worldwide Inc.,2.78B,N/A,Technology,Computer Software: Prepackaged Software
NASDAQ,ACRS,Aclaris Therapeutics Inc.,590.3M,2015,Health Care,Major Pharmaceuticals
NASDAQ,ACMR,ACM Research Inc.,174.24M,2017,Technology,Industrial Machinery/Components
NASDAQ,ACNB,ACNB Corporation,221.94M,N/A,Finance,Major Banks
NASDAQ,ACOR,Acorda Therapeutics Inc.,1.09B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,SQZZ,Active Alts Contrarian ETF,639423,N/A,N/A,N/A
NASDAQ,ATVI,Activision Blizzard Inc.,54.6B,N/A,Technology,Computer Software: Prepackaged Software
NASDAQ,ACXM,Acxiom Corporation,2.21B,N/A,Technology,EDP Services
NASDAQ,ADMS,Adamas Pharmaceuticals Inc.,791.39M,2014,Health Care,Major Pharmaceuticals
NASDAQ,ADMP,Adamis Pharmaceuticals Corporation,148.58M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ADAP,Adaptimmune Therapeutics plc,1.24B,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ADUS,Addus HomeCare Corporation,638.4M,2009,Health Care,Medical/Nursing Services
NASDAQ,AEY,ADDvantage Technologies Group Inc.,13.59M,N/A,Consumer Services,Office Equipment/Supplies/Services
NASDAQ,IOTS,Adesto Technologies Corporation,187.73M,2015,Technology,Semiconductors
NASDAQ,ADMA,ADMA Biologics Inc,192.44M,N/A,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ADBE,Adobe Systems Incorporated,120.12B,1986,Technology,Computer Software: Prepackaged Software
NASDAQ,ADOM,ADOMANI Inc.,88.95M,2017,Capital Goods,Auto Parts:O.E.M.
NASDAQ,ADTN,ADTRAN Inc.,713.92M,1994,Public Utilities,Telecommunications Equipment
NASDAQ,ADRO,Aduro Biotech Inc.,641.65M,2015,Health Care,Major Pharmaceuticals
NASDAQ,ADES,Advanced Emissions Solutions Inc.,232.74M,N/A,Basic Industries,Major Chemicals
NASDAQ,AEIS,Advanced Energy Industries Inc.,2.58B,1995,Capital Goods,Industrial Machinery/Components
NASDAQ,AMD,Advanced Micro Devices Inc.,12.7B,N/A,Technology,Semiconductors
NASDAQ,ADXS,Advaxis Inc.,95.73M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ADXSW,Advaxis Inc.,N/A,N/A,Health Care,Major Pharmaceuticals
NASDAQ,ADVM,Adverum Biotechnologies Inc.,381.42M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ACT,AdvisorShares Vice ETF,12.61M,N/A,N/A,N/A
NASDAQ,AEGN,Aegion Corp,844.34M,N/A,Basic Industries,Water Supply
NASDAQ,AGLE,Aeglea BioTherapeutics Inc.,216.4M,2016,Health Care,Major Pharmaceuticals
NASDAQ,AEHR,Aehr Test Systems,52.93M,1997,Capital Goods,Electrical Products
NASDAQ,AMTX,Aemetis Inc.,34.56M,N/A,Basic Industries,Major Chemicals
NASDAQ,AERI,Aerie Pharmaceuticals Inc.,2.02B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,AVAV,AeroVironment Inc.,1.35B,2007,Capital Goods,Aerospace
NASDAQ,AEZS,AEterna Zentaris Inc.,31.9M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,AEMD,Aethlon Medical Inc.,21.04M,N/A,Capital Goods,Biotechnology: Laboratory Analytical Instruments
NASDAQ,GNMX,Aevi Genomic Medicine Inc.,94.94M,N/A,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,AFMD,Affimed N.V.,152.86M,2014,Health Care,Major Pharmaceuticals
NASDAQ,AGEN,Agenus Inc.,361.92M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,AGRX,Agile Therapeutics Inc.,21.06M,2014,Health Care,Major Pharmaceuticals
NASDAQ,AGYS,Agilysys Inc.,297.24M,N/A,Technology,EDP Services
NASDAQ,AGIO,Agios Pharmaceuticals Inc.,5.12B,2013,Health Care,Major Pharmaceuticals
NASDAQ,AGMH,AGM Group Holdings Inc.,195.26M,2018,Technology,EDP Services
NASDAQ,AGNC,AGNC Investment Corp.,7.51B,2008,Consumer Services,Real Estate Investment Trusts
NASDAQ,AGNCB,AGNC Investment Corp.,8.92B,N/A,Consumer Services,Real Estate Investment Trusts
NASDAQ,AGNCN,AGNC Investment Corp.,N/A,N/A,Consumer Services,Real Estate Investment Trusts
NASDAQ,AGFS,AgroFresh Solutions Inc.,353.52M,2014,Finance,Business Services
NASDAQ,AGFSW,AgroFresh Solutions Inc.,N/A,2014,Finance,Business Services
NASDAQ,ALRN,Aileron Therapeutics Inc.,73.83M,2017,Health Care,Major Pharmaceuticals
NASDAQ,AIMT,Aimmune Therapeutics Inc.,1.9B,2015,Health Care,Major Pharmaceuticals
NASDAQ,AIRT,Air T Inc.,66.9M,N/A,Transportation,Air Freight/Delivery Services
NASDAQ,ATSG,Air Transport Services Group Inc.,1.23B,N/A,Transportation,Air Freight/Delivery Services
NASDAQ,AIRG,Airgain Inc.,81.42M,2016,Technology,Radio And Television Broadcasting And Communications Equipment
NASDAQ,AMCN,AirMedia Group Inc,42.09M,2007,Technology,Advertising
NASDAQ,AKAM,Akamai Technologies Inc.,13.14B,1999,Miscellaneous,Business Services
NASDAQ,AKTX,Akari Therapeutics Plc,28.07M,N/A,Health Care,Major Pharmaceuticals
NASDAQ,AKCA,Akcea Therapeutics Inc.,1.93B,2017,Health Care,Major Pharmaceuticals
NASDAQ,AKBA,Akebia Therapeutics Inc.,587.6M,2014,Health Care,Major Pharmaceuticals
NASDAQ,AKER,Akers Biosciences Inc,48.63M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NASDAQ,AKRX,Akorn Inc.,1.71B,N/A,Health Care,Major Pharmaceuticals
NASDAQ,AKTS,Akoustis Technologies Inc.,146.07M,N/A,Public Utilities,Telecommunications Equipment
NASDAQ,ALRM,Alarm.com Holdings Inc.,2.03B,2015,Technology,Computer Software: Prepackaged Software
