ID,Name,City,Country,IATA/FAA,ICAO,Latitude,Longitude,Altitude,Timezone,DST, AIRPORTS with IATA and ICAO codes, http://openflights.org/data.html, 
1,"Chaghcharan Airport","Chaghcharan","Afghanistan","CCN","OACC",34.526667,65.271667,7383,4.5,"U"
2,"Zaranj Airport","Zaranj","Afghanistan","ZAJ","OAZJ",30.969167,61.866944,1581,4.5,"U"
3,"Konduz","Kunduz","Afghanistan","UND","OAUZ",36.665111,68.910833,1457,5,"U"
4,"Bost Airport","Lashkar Gah","Afghanistan","BST","OABT",31.558889,64.364167,2464,4.5,"U"
5,"Sharona","Sharona","Afghanistan","AZ3","OASA",33.1277215,68.8369847,7400,4.5,"N"
6,"Bagram AFB","Kabul","Afghanistan","BPM","OAIX",34.5646,69.1554,4895,4.5,"U"
7,"Tarin Kowt Airport","Tarin Kowt","Afghanistan","TII","OATN",32.605278,65.864167,3500,4.5,"U"
8,"FOB Salerno","Khost","Afghanistan","KHT","OAKS",33.3334,69.952,3756,4.5,"N"
9,"Faizabad Airport","Faizabad","Afghanistan","FBD","OAFZ",37.1211,70.5181,3872,4.5,"U"
10,"Kandahar","Kandahar","Afghanistan","KDH","OAKN",31.505756,65.847822,3337,5,"U"
11,"Kabul Intl","Kabul","Afghanistan","KBL","OAKB",34.565853,69.212328,5877,5,"U"
12,"Herat","Herat","Afghanistan","HEA","OAHR",34.210017,62.2283,3206,5,"U"
13,"Jalalabad","Jalalabad","Afghanistan","JAA","OAJL",34.399842,70.498625,1814,5,"U"
14,"Maimana","Maimama","Afghanistan","MMZ","OAMN",35.930789,64.760917,2743,5,"U"
15,"Mazar I Sharif","Mazar-i-sharif","Afghanistan","MZR","OAMS",36.706914,67.209678,1284,5,"U"
16,"Bamyan Airport","Bamyan","Afghanistan","BIN","OABN",34.816667,67.816667,2550,4.5,"N"
17,"Tirana Rinas","Tirana","Albania","TIA","LATI",41.414742,19.720561,126,1,"E"
18,"Annaba","Annaba","Algeria","AAE","DABB",36.822225,7.809167,16,1,"N"
19,"Jijel","Jijel","Algeria","GJL","DAAV",36.795136,5.873608,36,1,"N"
20,"Tamanrasset","Tamanrasset","Algeria","TMR","DAAT",22.811461,5.451075,4518,1,"N"
21,"Hassi R Mel","Tilrempt","Algeria","HRM","DAFH",32.930431,3.311542,2540,1,"N"
22,"Bou Chekif","Tiaret","Algeria","TID","DAOB",35.341136,1.463147,3245,1,"N"
23,"Mohamed Boudiaf Intl","Constantine","Algeria","CZL","DABC",36.276028,6.620386,2265,1,"N"
24,"Cheikh Larbi Tebessi","Tebessa","Algeria","TEE","DABS",35.431611,8.120717,2661,1,"N"
25,"Illizi Takhamalt","Illizi","Algeria","VVZ","DAAP",26.723536,8.622653,1778,1,"N"
26,"Batna Airport","Batna","Algeria","BLJ","DABT",35.752106,6.308589,2697,1,"N"
27,"B?char Boudghene Ben Ali Lotfi Airport","B?char","Algeria","CBH","DAOR",31.6457,-2.26986,2661,1,"N"
28,"Guemar Airport","Guemar","Algeria","ELU","DAUO",33.5114,6.77679,203,1,"N"
29,"Soummam","Bejaja","Algeria","BJA","DAAE",36.711997,5.069922,20,1,"N"
30,"Boufarik","Boufarik","Algeria","QFD","DAAK",36.545834,2.876111,335,1,"N"
31,"Tiska","Djanet","Algeria","DJG","DAAJ",24.292767,9.452444,3176,1,"N"
32,"Houari Boumediene","Algier","Algeria","ALG","DAAG",36.691014,3.215408,82,1,"N"
33,"Tindouf","Tindouf","Algeria","TIN","DAOF",27.700372,-8.167103,1453,1,"N"
34,"Laghouat","Laghouat","Algeria","LOO","DAUL",33.764383,2.928344,2510,1,"N"
35,"Timimoun","Timimoun","Algeria","TMX","DAUT",29.237119,0.276033,1027,1,"N"
36,"In Salah","In Salah","Algeria","INZ","DAUI",27.251022,2.512017,896,1,"N"
37,"Sidi Mahdi","Touggourt","Algeria","TGR","DAUK",33.067803,6.088672,279,1,"N"
38,"Ain Arnat Airport","Setif","Algeria","QSF","DAAS",36.1781,5.32449,3360,0,"U"
39,"Tsletsi Airport","Djelfa","Algeria","QDJ","DAFI",34.6657,3.351,10,1,"U"
40,"Bordj Badji Mokhtar Airport","Bordj Badji Mokhtar","Algeria","BMW","DATM",21.375,0.923889,1303,1,"N"
41,"Ouargla","Ouargla","Algeria","OGX","DAUU",31.917223,5.412778,492,1,"N"
42,"In Amenas","Zarzaitine","Algeria","IAM","DAUZ",28.05155,9.642911,1847,1,"N"
43,"Oued Irara","Hassi Messaoud","Algeria","HME","DAUH",31.672972,6.140444,463,1,"N"
44,"Zenata","Tlemcen","Algeria","TLM","DAON",35.016667,-1.45,814,1,"N"
45,"Es Senia","Oran","Algeria","ORN","DAOO",35.623858,-0.621183,295,1,"N"
46,"Ech Cheliff","Ech-cheliff","Algeria","QAS","DAOI",36.212658,1.331775,463,1,"N"
47,"Tafaraoui","Oran","Algeria","TAF","DAOL",35.542444,-0.532278,367,1,"N"
48,"Ghriss","Ghriss","Algeria","MUW","DAOV",35.207725,0.147142,1686,1,"N"
49,"Biskra","Biskra","Algeria","BSK","DAUB",34.793289,5.738231,289,1,"N"
50,"El Golea","El Golea","Algeria","ELG","DAUE",30.571294,2.859586,1306,1,"N"
51,"Noumerat","Ghardaia","Algeria","GHA","DAUG",32.384106,3.794114,1512,1,"N"
52,"Touat Cheikh Sidi Mohamed Belkebir","Adrar","Algeria","AZR","DAUA",27.837589,-0.186414,919,1,"N"
53,"Pago Pago Intl","Pago Pago","American Samoa","PPG","NSTU",-14.331,-170.7105,32,-11,"U"
54,"Fitiuta Airport","Fiti'uta","American Samoa","FTI","NSFQ",-14.216111,-169.423611,110,-11,"U"
55,"Menongue","Menongue","Angola","SPP","FNME",-14.657583,17.719833,4469,1,"N"
56,"Porto Amboim","Porto Amboim","Angola","PBN","FNPA",-10.721956,13.765528,16,1,"N"
57,"Negage","Negage","Angola","GXG","FNNG",-7.754506,15.287728,4105,1,"N"
58,"Luanda 4 De Fevereiro","Luanda","Angola","LAD","FNLU",-8.858375,13.231178,243,1,"N"
59,"Kuito","Kuito","Angola","SVP","FNKU",-12.404633,16.947414,5618,1,"N"
60,"Malanje","Malanje","Angola","MEG","FNMA",-9.525086,16.312406,3868,1,"N"
61,"Saurimo","Saurimo","Angola","VHC","FNSA",-9.689067,20.431875,3584,1,"N"
62,"Xangongo","Xangongo","Angola","XGN","FNXA",-16.755417,14.965344,3635,1,"N"
63,"Lucapa Airport","Lucapa","Angola","LBZ","FNLK",-8.443056,20.732222,500,1,"U"
64,"Kapanda Airport","Kapanda","Angola","KNP","FNCP",-9.771944,15.456111,500,1,"U"
65,"Lubango","Lubango","Angola","SDD","FNUB",-14.924733,13.575022,5778,1,"N"
66,"Luena","Luena","Angola","LUO","FNUE",-11.768086,19.897672,4360,1,"N"
67,"Uige","Uige","Angola","UGO","FNUG",-7.603067,15.027822,2720,1,"N"
68,"Ondjiva Pereira Airport","Ondjiva","Angola","VPE","FNGI",-17.043464,15.683822,3566,1,"N"
69,"Namibe Airport","Mocamedes","Angola","MSZ","FNMO",-15.261222,12.146756,210,1,"N"
70,"Dundo Airport","Dundo","Angola","DUE","FNDU",-7.40089,20.8185,2451,1,"N"
71,"Soyo","Soyo","Angola","SZA","FNSO",-6.141086,12.371764,15,1,"N"
72,"Catumbela Airport","Catumbela","Angola","CBT","FNCT",-12.4792,13.4869,0,1,"N"
73,"Cabinda","Cabinda","Angola","CAB","FNCA",-5.596992,12.188353,66,1,"N"
74,"Huambo","Huambo","Angola","NOV","FNHU",-12.808878,15.760547,5587,1,"N"
75,"Mbanza Congo","M'banza-congo","Angola","SSY","FNBC",-6.269897,14.247025,1860,1,"N"
76,"Benguela","Benguela","Angola","BUG","FNBG",-12.609025,13.403711,118,1,"N"
77,"Wallblake","The Valley","Anguilla","AXA","TQPF",18.204834,-63.055084,127,-4,"U"
78,"Codrington Airport","Codrington","Antigua and Barbuda","BBQ","TAPH",17.6358,-61.8286,15,-4,"U"
79,"V C Bird Intl","Antigua","Antigua and Barbuda","ANU","TAPA",17.136749,-61.792667,62,-4,"U"
80,"Mar Del Plata","Mar Del Plata","Argentina","MDQ","SAZM",-37.934167,-57.573333,71,-3,"N"
81,"Ushuaia Malvinas Argentinas","Ushuaia","Argentina","USH","SAWH",-54.843278,-68.29575,71,-3,"N"
82,"San Julian","San Julian","Argentina","ULA","SAWJ",-49.306775,-67.802589,190,-3,"N"
83,"Comandante Espora","Bahia Blanca","Argentina","BHI","SAZB",-38.724967,-62.169317,246,-3,"N"
84,"Santa Cruz","Santa Cruz","Argentina","RZA","SAWU",-50.01655,-68.579197,364,-3,"N"
85,"Perito Moreno","Perito Moreno","Argentina","PMQ","SAWP",-46.537911,-70.978689,1410,-3,"N"
86,"Gobernador Castello","Viedma","Argentina","VDM","SAVV",-40.869222,-63.000389,20,-3,"N"
87,"Almirante Zar","Trelew","Argentina","REL","SAVT",-43.2105,-65.270319,141,-3,"N"
88,"Esquel","Esquel","Argentina","EQS","SAVE",-42.90795,-71.139472,2621,-3,"N"
89,"El Tehuelche","Puerto Madryn","Argentina","PMY","SAVY",-42.759161,-65.102725,426,-3,"N"
90,"Rio Gallegos","Rio Gallegos","Argentina","RGL","SAWG",-51.608875,-69.312636,61,-3,"N"
91,"Rio Grande","Rio Grande","Argentina","RGA","SAWE",-53.777667,-67.749389,65,-3,"N"
92,"Puerto Deseado","Puerto Deseado","Argentina","PUD","SAWD",-47.735292,-65.904097,266,-3,"N"
93,"Presidente Peron","Neuquen","Argentina","NQN","SAZN",-38.949,-68.155711,895,-3,"N"
