Date,Open,High,Low,Close,Volume
23-1-2009,16.97,17.49,16.75,17.2,117020593
22-1-2009,18.05,18.18,17.07,17.11,222435525
21-1-2009,18.87,19.45,18.46,19.38,68358085
20-1-2009,19.46,19.62,18.37,18.48,89891855
16-1-2009,19.63,19.91,19.15,19.71,79640268
15-1-2009,19.07,19.3,18.52,19.24,96214587
14-1-2009,19.53,19.68,19.01,19.09,80341720
13-1-2009,19.52,19.99,19.52,19.82,65847793
12-1-2009,19.71,19.79,19.3,19.47,52204130
9-1-2009,20.17,20.3,19.41,19.52,49828297
8-1-2009,19.63,20.19,19.55,20.12,70255018
7-1-2009,20.19,20.29,19.48,19.51,72747158
6-1-2009,20.75,21,20.61,20.76,58085878
5-1-2009,20.2,20.67,20.06,20.52,61476552
2-1-2009,19.53,20.4,19.37,20.33,50121849
1-1-2009,19.44,19.44,19.44,19.44,0
31-12-2008,19.31,19.68,19.27,19.44,46424902
30-12-2008,19.01,19.49,19,19.34,43228892
29-12-2008,19.15,19.21,18.64,18.96,58886322
26-12-2008,19.2,19.33,19.09,19.13,23104614
25-12-2008,19.17,19.17,19.17,19.17,0
24-12-2008,19.26,19.45,19.1,19.17,16894070
23-12-2008,19.28,19.57,19.01,19.28,47535826
22-12-2008,19.24,19.29,18.89,19.18,58577826
19-12-2008,19.42,19.8,19.11,19.12,115432039
18-12-2008,19.86,20.02,18.99,19.3,80765009
17-12-2008,19.81,20.05,19.5,19.66,79049035
16-12-2008,19.21,20.18,19,20.11,97707493
15-12-2008,19.34,19.44,18.89,19.04,59936439
12-12-2008,19.15,19.85,18.7,19.36,78130797
11-12-2008,20.11,20.12,19.31,19.45,83624211
10-12-2008,20.82,20.96,20.3,20.61,61501699
9-12-2008,20.62,21.25,20.46,20.6,80499585
8-12-2008,20.35,21.25,20.14,21.01,107229949
5-12-2008,18.91,19.98,18.47,19.87,91996769
4-12-2008,19.4,19.92,18.79,19.11,78724702
3-12-2008,18.65,19.9,18.6,19.87,80970409
2-12-2008,18.99,19.31,18.56,19.15,79692371
1-12-2008,19.88,19.95,18.6,18.61,79873774
28-11-2008,20.23,20.31,20.02,20.22,31371936
27-11-2008,20.49,20.49,20.49,20.49,0
26-11-2008,19.73,20.68,19.73,20.49,79682260
25-11-2008,20.86,20.93,19.55,19.99,92971983
24-11-2008,19.89,20.94,19.87,20.69,125298897
21-11-2008,18.02,19.7,17.98,19.68,157245554
20-11-2008,18.12,18.84,17.5,17.53,139532692
19-11-2008,19.63,19.95,18.25,18.29,103048823
18-11-2008,19.5,19.66,18.75,19.62,108984798
17-11-2008,19.74,20.24,19.15,19.32,97297036
14-11-2008,20.56,21.34,19.65,20.06,96626994
13-11-2008,20.15,21.25,18.74,21.25,148503311
12-11-2008,20.89,21,20.28,20.3,90159844
11-11-2008,21.29,21.3,20.79,21.2,78032704
10-11-2008,21.84,21.97,21.19,21.3,67602599
7-11-2008,21.32,21.54,21,21.5,69882100
6-11-2008,21.87,22.08,20.86,20.88,93242700
5-11-2008,23.33,23.34,22.05,22.08,80402000
4-11-2008,23.13,23.66,22.87,23.53,71322500
3-11-2008,22.48,22.91,22.21,22.62,59735700
31-10-2008,22.53,22.91,22.12,22.33,88045000
30-10-2008,23.69,23.88,22.39,22.63,93429300
29-10-2008,23.13,23.97,22.7,23,10495100
28-10-2008,21.64,23.21,21.34,23.1,27045500
27-10-2008,21.67,21.96,21.02,21.18,15319300
24-10-2008,21.06,22.86,20.95,21.96,49517700
23-10-2008,21.55,22.59,20.89,22.32,42690400
22-10-2008,23.04,23.06,20.9,21.53,46670700
21-10-2008,24.3,25.01,23.27,23.36,99511500
20-10-2008,24.2,24.75,23.01,24.72,92505200
17-10-2008,23.56,25.11,23.31,23.93,30506300
16-10-2008,22.94,24.19,21.31,24.19,59369900
15-10-2008,23.78,24.25,22.48,22.66,10169800
14-10-2008,25.64,25.73,23.6,24.1,59001500
13-10-2008,22.86,25.5,22.63,25.5,39340200
10-10-2008,21.79,22.35,20.65,21.5,22531200
9-10-2008,23.76,23.91,22.07,22.3,29418200
8-10-2008,22.9,24.3,22.5,23.01,69134200
7-10-2008,24.98,25.21,23.14,23.23,38633700
6-10-2008,25.63,25.99,24.14,24.91,42468200
3-10-2008,26.36,27.47,26.24,26.32,9560600
2-10-2008,26.18,26.53,25.7,26.25,92308400
1-10-2008,26.38,26.99,26.28,26.48,82441100
30-9-2008,25.77,26.69,25.54,26.69,2950200
29-9-2008,26.94,27.66,25.01,25.01,27857700
26-9-2008,26.17,27.56,26.14,27.4,99176700
25-9-2008,25.82,26.88,25.74,26.61,93988900
24-9-2008,25.58,26.09,25.46,25.72,73815800
23-9-2008,25.66,26.17,25.34,25.44,90064300
22-9-2008,26.22,26.32,25.32,25.4,98239800
19-9-2008,26.37,26.4,23.5,25.16,30373500
18-9-2008,24.8,25.35,24.01,25.26,27810100
17-9-2008,25.73,25.87,24.5,24.57,2573600
16-9-2008,26.09,26.49,25.52,25.99,6222700
15-9-2008,26.92,27.49,26.73,26.82,81460500
12-9-2008,27.14,27.74,26.94,27.62,75039500
11-9-2008,26.1,27.46,26.03,27.34,71218300
10-9-2008,26.52,26.86,26.25,26.44,73099700
9-9-2008,26.2,26.6,26.05,26.1,84321000
8-9-2008,26.21,26.33,25.67,26.12,60794100
5-9-2008,26.03,26.22,25.63,25.65,80595200
4-9-2008,26.74,26.89,26.35,26.35,64569500
3-9-2008,27,27.18,26.84,26.9,55545200
2-9-2008,27.66,27.76,27.06,27.1,65548200
29-8-2008,27.68,27.78,27.29,27.29,47427800
28-8-2008,27.61,28.01,27.6,27.94,47687600
27-8-2008,27.34,27.79,27.13,27.56,32285200
26-8-2008,27.58,27.72,27.17,27.27,39789200
25-8-2008,27.61,27.84,27.46,27.66,50389500
22-8-2008,27.23,27.88,27.22,27.84,47297800
21-8-2008,27.1,27.23,26.86,27.18,42745000
20-8-2008,27.54,27.58,27.17,27.29,40803300
19-8-2008,27.54,27.75,27.27,27.32,38976500
