Country Name,IsCountry,Country Code,Region,Population Total,Population Density (people per sq. km of land area),Population Growth (%),Population Urban (% of total),Birth Rate (per 1000 people),Death Rate (per 1000 people),Life Expectancy (years),Migration,Literacy Rate (% of people ages 15+),Unemployment (% of labor force),Land Area (sq. km),GDP,GDP per Capita,GDP Growth (%),Trade (% of GDP),Debt Total,Debt per Captia,Debt per GDP (%),Internet Users,Internet Rate (per 100 people),Electricity Rate (% of population),Electricity Production (kWh),Electricity Coal (kWh),Electricity Water,Electricity Gas,Electricity Nuclear,Electricity Oil,Electricity Renewable,Emissions CO2 (kg per PPP $ of GDP),Roads Density (km of road per 100 sq. km),Roads Passengers (mln passenger-km),Air Passengers,Railways Passengers (mln passenger-km),Motor Vehicles (per 1000 people),Hospital Beds (per 1000 people),Telephone Lines (per 100 people),Mobile Phones (per 100 people),Armed Forces Rate (% of labor force),Armed Forces Total
Afghanistan,yes,AFG,Asia,29824536,44,2.46,24,35,8.68,60,-400000,,8.6,652000,20506795254,688,8.43,45,1280000000,92,22,1500,0.01,30,,,,,,,,0.181,3.55,230,1740000,,28,,0.3,46,4.5,338000
Albania,yes,ALB,Europe,2801681,104,-0.96,54,13,6.6,77,-50000,,14.7,27400,12344532541,4406,3.5,85,5281000000,882,23,160000,5.06,,4159000000,,4158000000,,,1000000,4158000000,0.158,,7900,814000,32,121,2.43,9.87,86,1.21,14800
Algeria,yes,DZA,Africa,38481705,16,1.85,74,25,5.8,71,-50000,,9.8,2380000,2.04E+11,5310,3.6,65,4344000000,115,3,1154748,3,99,51224000000,,502000000,47906000000,,2816000000,502000000,0.272,4.77,,4080000,1040,114,,8.4,88,2.6,317000
American Samoa,yes,ASM,Oceania,55128,278,-1.09,93,,,,,,,200,,,,,,,,,,,,,,,,,,,,,56100,,,,18.1,,,
Andean Region,no,ANR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,yes,ADO,Europe,78360,166,-0.96,87,10,2.8,,,,,470,3163000000,40365,,,1299993000,15212,41.1,26905,34.3,,,,,,,,,,,,,,,,48.9,84,,
Angola,yes,AGO,Africa,20820525,16,3.24,60,45,14.9,51,65500,71,7.5,1250000,1.15E+11,5539,3.41,101,19650000000,944,21,42344,0.2,40,5651000000,,4007000000,,,1644000000,4007000000,0.225,,,1130000,,,,1,48,1.53,117000
Antigua and Barbuda,yes,ATG,North America,89069,198,1.08,30,17,6.27,75,-56,99,,440,1194074074,13406,-7.18,98,458000000,4388,36,4130,4.64,,,,,,,,,0.292,,,1310000,,,2.1,37.2,193,,180
Arab World,no,ARB,Asia,362466629,26,2.23,57,26,6.02,70,354000,,10.82,13600000,2.76E+12,7627,5.37,97,,,,9443733,2.86,88,8.99E+11,11679000000,30111000000,5.51E+11,,2.10E+11,32881000000,0.317,8.91,,152000000,,,,9.57,88,2.92,3540000
Argentina,yes,ARG,South America,41086927,15,0.87,93,17,7.73,76,-100000,98,7.2,2740000,6.03E+11,14680,9.14,30,3.34E+11,7759,44.8,5147626,12.5,97,1.30E+11,3238000000,31564000000,66638000000,6371000000,19591000000,33717000000,,,35900,9380000,8590,,4.5,23,141,0.55,104000
