code,origin,destination,connections,carrier
US,DFW,PHX,288,US Airways Inc.
US,SAN,PHL,112,US Airways Inc.
US,SNA,PHX,320,US Airways Inc.
US,TUS,PHX,96,US Airways Inc.
US,DFW,PHL,256,US Airways Inc.
US,SAN,PHX,344,US Airways Inc.
US,IND,PHX,112,US Airways Inc.
US,EWR,CLT,432,US Airways Inc.
US,CLT,LAX,224,US Airways Inc.
US,BWI,CLT,470,US Airways Inc.
US,DCA,RSW,80,US Airways Inc.
US,ONT,PHX,272,US Airways Inc.
US,CLT,LAS,280,US Airways Inc.
US,PHL,RSW,192,US Airways Inc.
US,CLT,MCI,160,US Airways Inc.
US,MSY,PHL,100,US Airways Inc.
US,EWR,PHX,168,US Airways Inc.
US,PHL,RDU,232,US Airways Inc.
US,PBI,DCA,164,US Airways Inc.
US,PHL,PIT,188,US Airways Inc.
US,SJC,PHX,276,US Airways Inc.
US,CLT,IAD,56,US Airways Inc.
US,PHL,PHX,336,US Airways Inc.
US,CLT,LGA,500,US Airways Inc.
US,FLL,DCA,212,US Airways Inc.
US,DCA,PHL,76,US Airways Inc.
US,SYR,DCA,48,US Airways Inc.
US,PHX,SAT,56,US Airways Inc.
US,FLL,PHL,280,US Airways Inc.
US,DAB,CLT,32,US Airways Inc.
US,TPA,CLT,448,US Airways Inc.
US,TPA,PHX,120,US Airways Inc.
US,LAS,BOS,54,US Airways Inc.
US,PHL,SJU,200,US Airways Inc.
US,STT,PHL,56,US Airways Inc.
US,DEN,PHX,288,US Airways Inc.
US,BDL,PHL,48,US Airways Inc.
US,OGG,PHX,56,US Airways Inc.
US,DCA,LAS,56,US Airways Inc.
US,PHL,TPA,274,US Airways Inc.
US,CLT,MHT,32,US Airways Inc.
US,BUR,PHX,112,US Airways Inc.
US,PHX,LAS,554,US Airways Inc.
US,SYR,PHL,48,US Airways Inc.
US,BNA,CLT,160,US Airways Inc.
US,RDU,CLT,390,US Airways Inc.
US,LAS,DFW,142,US Airways Inc.
US,PHX,FLL,112,US Airways Inc.
US,PHX,ELP,33,US Airways Inc.
US,BOS,CLT,498,US Airways Inc.
US,CLT,DTW,204,US Airways Inc.
US,SFO,PHX,288,US Airways Inc.
US,RNO,PHX,241,US Airways Inc.
US,PHX,STL,168,US Airways Inc.
US,PIT,PHX,114,US Airways Inc.
US,DCA,JAX,100,US Airways Inc.
US,PHL,SFO,168,US Airways Inc.
US,PIT,CLT,444,US Airways Inc.
US,CLT,STT,64,US Airways Inc.
US,SFO,LAS,104,US Airways Inc.
US,PHX,KOA,56,US Airways Inc.
US,JAX,CLT,336,US Airways Inc.
US,PHL,PBI,168,US Airways Inc.
US,PHX,ANC,56,US Airways Inc.
US,BWI,PHL,104,US Airways Inc.
US,CLT,PBI,336,US Airways Inc.
US,IND,CLT,72,US Airways Inc.
US,ROC,CLT,56,US Airways Inc.
US,PHX,HNL,96,US Airways Inc.
US,DTW,PHL,56,US Airways Inc.
US,PHL,SEA,56,US Airways Inc.
US,PIT,DFW,2,US Airways Inc.
US,PHX,JFK,170,US Airways Inc.
US,PVD,PHL,184,US Airways Inc.
US,LAX,PHX,344,US Airways Inc.
US,MCO,CLT,504,US Airways Inc.
US,IAH,CLT,326,US Airways Inc.
US,SMF,PHX,256,US Airways Inc.
US,MIA,CLT,360,US Airways Inc.
US,PHL,DEN,98,US Airways Inc.
US,BDL,DCA,56,US Airways Inc.
US,LAX,PHL,220,US Airways Inc.
US,LGA,BOS,760,US Airways Inc.
US,LAS,PHL,272,US Airways Inc.
US,MHT,PHL,48,US Airways Inc.
US,STX,CLT,8,US Airways Inc.
US,CLT,FLL,448,US Airways Inc.
US,STL,CLT,112,US Airways Inc.
US,PHL,BUF,72,US Airways Inc.
US,BDL,CLT,256,US Airways Inc.
US,MCO,DCA,262,US Airways Inc.
US,MEM,CLT,32,US Airways Inc.
US,LGA,PHL,52,US Airways Inc.
US,CLT,MDT,96,US Airways Inc.
US,LAX,LAS,168,US Airways Inc.
US,RSW,CLT,355,US Airways Inc.
US,BUF,CLT,204,US Airways Inc.
US,PVD,DCA,48,US Airways Inc.
US,DCA,DFW,14,US Airways Inc.
US,PHL,IND,64,US Airways Inc.
US,PHX,ABQ,39,US Airways Inc.
US,MIA,PHL,192,US Airways Inc.
US,SYR,CLT,144,US Airways Inc.
US,ALB,CLT,112,US Airways Inc.
US,DCA,CLT,476,US Airways Inc.
US,ATL,PHX,176,US Airways Inc.
US,MYR,CLT,152,US Airways Inc.
US,PHX,DCA,168,US Airways Inc.
US,OAK,PHX,263,US Airways Inc.
US,SEA,PHX,288,US Airways Inc.
US,DCA,BUF,24,US Airways Inc.
US,PHL,JAX,156,US Airways Inc.
US,IAH,PHX,230,US Airways Inc.
US,MSY,CLT,200,US Airways Inc.
US,CLT,PVD,240,US Airways Inc.
US,BOI,PHX,112,US Airways Inc.
US,CLE,CLT,96,US Airways Inc.
US,CHS,CLT,40,US Airways Inc.
US,CLT,SEA,56,US Airways Inc.
US,RIC,CLT,188,US Airways Inc.
US,MCO,PHX,120,US Airways Inc.
US,PHX,PDX,288,US Airways Inc.
US,PHX,MKE,112,US Airways Inc.
US,CLT,SAN,56,US Airways Inc.
US,PHX,BWI,120,US Airways Inc.
US,CLT,SJU,152,US Airways Inc.
US,SFO,CLT,168,US Airways Inc.
US,MCO,PHL,386,US Airways Inc.
US,PHX,MSP,232,US Airways Inc.
US,MSP,PHL,104,US Airways Inc.
US,PHX,BOS,176,US Airways Inc.
US,CLT,PHL,539,US Airways Inc.
US,DEN,CLT,280,US Airways Inc.
US,GEG,PHX,112,US Airways Inc.
US,SLC,PHX,264,US Airways Inc.
US,CLT,PWM,56,US Airways Inc.
US,PHX,CMH,110,US Airways Inc.
US,MCI,PHX,154,US Airways Inc.
US,LIH,PHX,42,US Airways Inc.
US,JFK,CLT,160,US Airways Inc.
US,CLT,DFW,426,US Airways Inc.
US,CLT,ABE,56,US Airways Inc.
US,PHX,ORD,282,US Airways Inc.
US,DCA,LGA,772,US Airways Inc.
