Flinders Shoal,-9.88333,129.28333
Zuytdorp Point,-26.4,113.3
Zuytdorp Cliffs,-27.83333,113.66667
Mount Zion,-33.19381,138.20853
Mount Zephyr,-28.38701,121.7936
Mount Zeil,-23.4018,132.3958
Zeewijk Channel,-28.78333,113.85
Zed Hill,-14.88333,132.28333
Zanthus,-31.03333,123.56667
Zadows Hill,-35,139.38333
Yuwanyadi Rockhole,-31.81667,128.26667
Yuwaiyunn Creek,-14.43333,131.66667
Yuwah Point,-16.66667,139.43333
Yurrauwe Pans,-28.96667,131.5
Yurongan Waterhole,-16.2,132.4
Yunumbar Well,-25.96667,116.01667
Yunta Creek,-32.71667,139.7
Yunta,-32.58333,139.55
Yunndaga,-29.75,121.05
Yungunup Pool,-34.4,118.75
Yungermere,-34.4,118.13333
Yungarup Hill,-33.91667,122.5
Yundi,-35.31667,138.63333
Yundhajibbie Soak,-28.06667,122.63333
Yunda Out Camp,-25.71667,116.9
Yundamindera,-29.11667,122.03333
Yuna,-28.33333,115
Yumburra Reservoir,-32.95,135.38333
Yumbarra Rockhole,-31.75,133.51667
Yumali,-35.51667,139.76667
Yulleroo Well,-17.76667,122.93333
Yulgan Brook,-31.31667,116.51667
Yule River,-20.68333,118.28333
Yule Entrance,-16.33333,124.4
Yule Brook,-32.03333,115.96667
Yulawarra Creek,-23.36667,116.5
Yulakin Gully,-33.03333,117.56667
Yuki,-34.71667,138.73333
Yuin Well,-27.98333,116.03333
Yuin,-27.97985,116.0353
Yuendumu,-22.26667,131.81667
Yudnapinna Hill,-32.1,137.13333
Yudnapinna,-32.13333,137.15
Yudenda Rockhole,-32.01667,126.6
Yowungup,-33.53333,116.13333
Yow Rockhole,-22,130.61667
Yownama Creek,-21.26667,121.05
Yowie Rockhole,-30.46667,122.35
Yowerreena Hill,-25.3,119.9
Yowerie,-27.26667,117.45
Yoweragabbie Well,-28.21667,117.65
Yoweragabbie,-28.21667,117.65
Yoweragabbie,-28.23333,117.68333
Yowalga Rockholes,-26.8,125.7
Yowakirrennina Creek,-28,138.48333
Yourmill Waterhole,-12.66667,132.66667
Yourdar Hill,-26.33333,116.23333
Yourdamung Lake,-33.19935,116.2685
Yourambulla Peak,-31.95001,138.38408
Youraling,-32.3,116.98333
Youno Downs,-27.05,119.26667
Youngs Lake,-30.88333,137.18333
Youngs,-35.01667,117.51667
Young Rocks,-36.38333,137.25
Young River,-34.5,117.78333
Young River,-33.81667,121.16667
Young Range,-25.01667,125.26667
Younghusband Peninsula,-36,139.5
Mount Younghusband,-28.16667,135.86667
Lake Younghusband,-30.8351,136.09541
Cape Younghusband,-36.05,136.81667
Mount Young,-33.09957,137.4838
Mount Young,-15.1517,135.73061
Youndegin Creek,-31.65,117.3
Youndegin,-31.8,117.31667
Youltangunna Hill,-27.55,136.55
Youlingoorina,-21.15,118.16667
Youlgarou Rockhole,-31.88333,127.45
Youlgannah Rockhole,-31.96667,126.26667
Mount Youle,-30.68333,121.65
Youl Creek,-19.45,138.46667
Youinmery,-28.58333,119.01667
Youering Rock,-31.53333,117.38333
Youdra Well,-26.48333,116.3
Youan Well,-27.33333,115.86667
Youanmi Well,-28.61667,119.05
Youanmi Downs,-28.55,118.81667
Youanmi,-28.61667,118.81667
Youangarra,-28.76667,118.83333
Yoting Well,-31.9,117.6
Yoting,-31.96667,117.61667
Yornup,-34.05,116.16667
Yornaning,-32.73333,117.15
Yorlok,-32.9,117.13333
York Sound,-14.83333,125.08333
Yorkrakine Rocks,-31.21667,118.75
Yorkrakine,-31.38333,117.58333
Yorke Valley Reservoir,-34.43333,137.66667
Yorketown,-35.01845,137.60486
Yorke Peninsula,-35.08333,137.25
Point Yorke,-35.23333,137.2
Mount York,-15.5,125.48333
York,-31.88467,116.76874
Yoothapina,-26.52064,118.5053
Yooralling Well,-31.76667,117.26667
Yoongarilup,-33.71667,115.43333
Yoondoo Well,-24.65,113.83333
Yoolperlunna Hill,-27,133.86667
Yoolperlunna Creek,-26.95,133.93333
Mount Yooadda Darlinu,-27.5,114.35
Yongala Cowie,-34.91667,137.55
Yongala,-33.03333,138.75
Yonderup Lake,-31.55,115.68333
Yokradine,-29.95,119.36667
Yokain Siding,-33.33333,116.06667
Yoganup,-33.65,115.55
Yockrikine Range,-33.03333,117.5
Ylbalgul,-20.08333,119.68333
Yirrkala,-12.25505,136.89119
Yinnietharra,-24.65,116.18333
Yinnewepping Pool,-26.11667,116.28333
Yingarrie Bluff,-27.73333,119.38333
Yingarding Soak,-30.03333,117.83333
Yindi Rock,-30.58333,122.48333
Mount Yindarlgooda,-30.8,121.86667
Lake Yindarlgooda,-30.75,121.91667
Yindabiddy Pool,-23.9,118.71667
Yinberrie Hill,-14.11667,132.08333
Yinadong Well,-19.8,120.53333
Yilmia,-31.23333,121.46667
Yillinnienar Pool,-20.53333,118.03333
Yilliminning Rock,-32.93333,117.36667
Yilliminning River,-33,117.41667
Yilliminning,-32.9,117.36667
Yilliga Well,-23.6,115.26667
Yilga Well,-26.53333,116.13333
Yilgatherra Well,-22.83333,115.76667
Yilgalong Pool,-21.01667,120.9
Yilgalong Creek,-21.03333,120.91667
Yilbung Bore,-21.01667,138.25
Yilbrinna Pool,-23.98333,118.51667
Yilbee Well,-23.51667,116.2
Yijulka Creek,-28.13333,135.43333
Yijinna Pool,-23.53333,115.91667
Yidie Larong Well,-19.78333,122.15
Yidby Hill,-29.31667,117.21667
Ygnaterring Spring,-31.36667,117.3
Yew Creek,-11.9,131
Yeuralba Creek,-14.2,132.73333
Yetna,-28.61667,114.7
Yeticup Lake,-34.25,116.36667
Yerritup Creek,-33.76667,121.16667
Yerringerri Rockhole,-20.7,134.75
Yerrilyer Well,-27.41667,115.28333
Yerrida Spring,-25.86667,119.76667
Yerramudder Hill,-29.08333,119.1
